player_name,minutes_played,goals,assists,key_passes,pass_rate,defensive_actions,discipline_score,age,appearances,total_injuries_last_year,days_injured_last_year,sentiment_score,mentions_count,positive_ratio,engagement_rate,fan_base_size,trending_score,controversy_flag,injury_severity_score,injury_risk_score,is_injured,position_group,goals_per_min,age_squared,minutes_squared,market_value
karim benzema,0.5494804494203398,-0.34780583412852445,0.09319468564113619,-0.33836398526782036,-0.09223647876531597,1.063850520926217,-1.2795422374276049,-0.9071854821395874,26.0,-0.8918185840607581,-0.7557009817058596,1.1770002165783742,0.5755844233766977,0.81,146.8,0.5420514602267263,1.5612503055414109,0.0,0.0,1.0,0.0,3.0,-0.49397608021999906,-0.9389742978474171,0.3393128686919429,15000000.0
cristiano ronaldo,-0.29101878824275607,-0.34780583412852445,-0.5111587303347173,1.1892708849286686,-1.0152648382081553,0.6363698126785042,-0.6136685953617937,0.17536671030207507,29.0,2.236856448545836,0.8885111760216318,0.531460023235995,1.6360158297301146,0.65,263.6,1.9940142841114368,1.1144445911070724,0.0,2.0,3.0,0.0,3.0,-0.35920200018025233,0.1453383409067696,-0.4540446598529078,15000000.0
casemiro,0.5670471537444881,-0.34780583412852445,-1.719865562286424,0.2726899628107752,0.3875661416443648,-0.4628662942441857,0.05220504670401737,-2.350588405395137,38.0,-0.10964982590910953,0.09576602854587696,-0.5248784749606259,0.552076370228953,0.56,145.1,0.03755667523528569,-1.5320200251578557,0.0,2.0,2.0,0.0,2.0,-0.4958803091135326,-2.253292647852492,0.35911226876207,12000000.0
luka modric,-0.9382842783402205,0.03001370142225839,-1.1155121463105706,-0.6438909593071181,1.4569020265932957,-1.1346216929191628,1.4579382910651741,0.17536671030207507,18.0,-0.8918185840607581,-0.7557009817058596,-0.23145111435045324,-0.30965203173033035,0.54,121.3,-0.42535519951042683,-0.12286354117263433,0.0,0.0,1.0,0.0,2.0,0.3201501633288782,0.1453383409067696,-0.8594230601113351,5000000.0
manuel neuer,0.16841809408112274,-0.15889606635313303,-0.5111587303347173,-0.9494179333464159,-0.7215739965672519,0.2088891044307915,-1.8714299192638815,-0.18548402051181243,22.0,-0.8918185840607581,-0.7557009817058596,-1.287789612547074,0.4263410521547687,0.42,153.1,0.2118440740802224,-0.2603422225370462,0.0,0.0,1.0,0.0,0.0,-0.3334419746175826,-0.22548719355894795,-0.057752598044886895,4000000.0
marcell jansen,0.9994583371081388,-0.5367156019039159,0.6975481016169895,0.8837439108893708,0.2111364785340788,0.7585071578921365,1.5319242512947087,0.17536671030207507,12.0,-0.10964982590910953,-0.5208135306019324,-0.3488220585945223,0.34748938100187243,0.53,218.4,0.990333840426846,-0.5009299149247669,0.0,1.0,1.0,0.0,3.0,-0.6176301772497533,0.1453383409067696,0.8880214458829855,4000000.0
jonas hofmann,1.6480751121536148,-0.34780583412852445,0.6975481016169895,-0.6438909593071181,-1.1400565511398217,-0.7071409846714501,-1.1315703169685358,-2.350588405395137,26.0,-0.8918185840607581,-0.7557009817058596,-0.5835639470826605,0.8847515743087954,0.5,186.7,0.16043518849177024,0.18646349189729233,0.0,0.0,1.0,0.0,2.0,-0.5785454965318124,-2.253292647852492,1.831076488108014,3000000.0
jesús navas,0.31841072331038905,-0.34780583412852445,-0.5111587303347173,-0.6438909593071181,0.5801326641854703,-0.7682096572782663,0.5701067683107593,0.17536671030207507,27.0,2.236856448545836,3.824604314820723,-0.23145111435045324,0.019683801810434456,0.63,98.5,-0.4859829794121898,-0.2603422225370462,0.0,3.0,3.0,0.0,1.0,-0.466333090097134,0.1453383409067696,0.0911399352028363,2500000.0
daley blind,0.6805550893774465,0.03001370142225839,-0.5111587303347173,2.7169057551251576,-0.3783967860051701,-1.6842397463805079,1.309966370606105,-1.6288869437673623,11.0,-0.8918185840607581,-0.7557009817058596,-1.5225315010352118,-1.0571167945758724,0.41,40.0,-1.4535319040940209,0.5645298656494249,0.0,0.0,1.0,0.0,1.0,-0.3252842750784115,-1.6149094492785985,0.4902231156047441,2000000.0
edin džeko,0.5048880461359634,-0.7256253696793074,-0.5111587303347173,-0.032837011228522575,-0.15248075397370575,1.552399901780746,0.4221348478516902,-0.18548402051181243,18.0,-0.8918185840607581,-0.7557009817058596,-1.9333298058894532,2.3350597197590313,0.35,275.0,2.889191772453795,-1.1195839810646202,1.0,0.0,1.0,0.0,3.0,-0.6837255022370039,-0.22548719355894795,0.28964460145689924,2000000.0
éver banega,-0.14778258375354678,3.8082090569300875,0.6975481016169895,-1.5604718814250116,-1.5671454307421606,1.0027818483194009,-0.0217809135255172,-0.9071854821395874,12.0,-0.10964982590910953,0.24257068548583155,0.1793471905037878,-0.5432824816375723,0.63,117.1,-0.7140756098252244,0.9769659097426604,0.0,2.0,2.0,0.0,2.0,2.4741192813794006,-0.9389742978474171,-0.34016390265406066,1800000.0
